no,smiles,tm
208,COC1=CC=C(OC)C(NCC2=CC=CC=C2)=C1[N+]([O-])=O,69.5
209,O=C(C1CC1)C2([N+]([O-])=O)C(C3=CC=CC=C3)C2,69.5
210,O=[N+](C1=NON=C1NCC2=CC=CC=C2)[O-],69.5
211,CCCNC1=NC(OC)=CC=C1[N+]([O-])=O,69.5
212,O=C1N(C)C2=C(C=C([N+]([O-])=O)C=C2)C(CCCC)=C1CCCC,69.5
213,O=[N+](C1=CC=C(OC)C=C1/C=N/OC)[O-],69.5
214,O=[N+](C1=C([N+]([O-])=O)C(N2CCCCC2)=CC=C1C)[O-],69.5
215,O=C(C1C(C)C(C2=CC=CC=C2)N(N=O)C3=C1C=CC=C3)OC,69.5
216,O=C(N1CCOCC1)C(C2=CC=CO2)=CC3=CC=C([N+]([O-])=O)O3,69.5
217,O=[N+](C1=C(OCCCCCCCCCC)N=CN1C)[O-],69.5
218,CCCC1([N+]([O-])=O)CN(C2CCCCC2)C(C)OC1,69.5
219,O=[N+](C1=CC=C(/C=C/N(CCCCCCC)CCCCCCC)O1)[O-],69.5
220,O=[N+](C1=CC=C(C2=CC=C(C)C(C)=C2)C=C1)[O-],69.5
221,O=C(OC1CC2C(C)(C)[C@]2([H])CC1C)C3=CC=C([N+]([O-])=O)C=C3,69.5
222,N#CC1(C#N)C(CC)C1[N+]([O-])=O,69.5
223,O=C(N)NCCC([N+]([O-])=O)([N+]([O-])=O)C,69.5
224,CC(OC(OC(C)=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,69.5
225,N/N=C\C1=CC=C([N+]([O-])=O)C(C)=C1,69.5
226,CC(OC(C1=CC=C([N+]([O-])=O)C=C1)=O)CC2CCCCC2,69.5
227,O=C(O[C@H]1C[C@@H](C(C)(C)C)CC1)C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2,69.5
228,O=C(OC1=CC=CC=C1CC(C)=C)C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2,69.5
229,O=[N+](C1=CC=C(C=C1)C=N[C@H](C)CC2=CC=CC=C2)[O-],69.5
230,O=[N+](C1=CC2=C3C(CC2)=CC=CC3=C1OC)[O-],69.5
231,O=C(OC(C)CC(C)(OC)C)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,69.5
232,O=C(OC1=CC(OCC)=CC=C1CC)C2=CC=CC([N+]([O-])=O)=C2,69.5
233,O=C(OC1=CC=C(C)C=C1C2CCCCC2)C3=CC=CC([N+]([O-])=O)=C3,69.5
234,COC1=C([N+]([O-])=O)C([N+]([O-])=O)=C(C(C)(C)C)C([N+]([O-])=O)=C1C,69.5
235,O=[N+](C1=CC=C(NN=C2CCC(C(CC(C)CCC)=NNC3=CC=C([N+]([O-])=O)C=C3[N+]([O-])=O)CC2)C([N+]([O-])=O)=C1)[O-],69.5
236,O=C(OC1/C=C\CCCCCC1)C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2,69.5
237,N#CC1(C(C)([N+]([O-])=O)C)CCCCCCCCCCC1,69.5
238,CCCCC(CCC)C/C=N/NC1=CC=C([N+]([O-])=O)C=C1[N+]([O-])=O,69.5
239,O=[N+](C([C@H]1C[C@@H](OCC([N+]([O-])=O)([N+]([O-])=O)C)OC1)([N+]([O-])=O)[N+]([O-])=O)[O-],69.5
240,O=[N+](C1=CC=C(OCCCCCCCCCNC2=CC=CC=C2)C=C1)[O-],69.5
241,CC(N1C2=CC=CC=C2N=C1)(C)[N+]([O-])=O,69.5
242,O=[N+](C1OC2=C(OC)C=CC=C2C1)[O-],69.5
243,O=[N+](C1=CC=C(C=C1)N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)[O-],69.5
244,O=C(O[C@H](C)[C@H](C1CCCCC1)C)C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2,69.5
245,[O-][N+](C)=CC1=CC=CC=C1OC/C=C/C,69.5
246,O=[N+](C1=CC=CC=C1N(C)C(C2=CC=CC=C2)=NC)[O-],69.5
247,O=[N+](C1=CC(C2=C(CNCCN3CCCC3)C(C)=NC(C4=CC=CC=C4)=N2)=CC=C1)[O-],69.5
248,CCCCC/C=C\CCCC=NNC1=CC=C([N+]([O-])=O)C=C1[N+]([O-])=O,69.5
249,CCCOC1=CC=C(/N=C\C2=CC=C([N+]([O-])=O)C=C2)C=C1,69.5
250,O=[N+]([C@@H]1[C@@H](N(C)C)C(C(C)C)=CC[C@@H]1C2=CC=CC=C2)[O-],69.5
251,O=C(O[C@@H]1C[C@]2([H])C[C@]2([H])CC1)C3=CC=C([N+]([O-])=O)C=C3,69.5
252,O=C(OC1C(C2=CC=CC=C2)C3CCC1C3)C4=CC=C([N+]([O-])=O)C=C4,69.5
253,O=C1[C@@]2([H])CC3CC(C2)C(O[N+]([O-])=O)C1C3,69.5
254,NC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1N(C)C,69.5
255,O=[N+](C1=CC(NN2CCCC2)=CC=C1)[O-],69.5
256,O=[N+]([C@H]1[C@@H](C2=CC=CC=C2)N(C3=CC=CC=C3)OC1C4=CC=CC=C4)[O-],69.5
257,O=C1CCCC2=C1C3=C(CCCC3)C(C4=CC=C([N+]([O-])=O)C=C4)N2,69.5
258,O=C1OC(OC)C(NC2=CC=C([N+]([O-])=O)C=C2)C1=[N+]=[N-],69.5
259,O=[N+](C1=CC=CC=C1N(N2C3=CC=CC=C3N=C2)C)[O-],69.5
260,O=[N+](C1=CC=C(C2CN=C(N3CCOCC3)O2)C=C1)[O-],69.5
261,O=C(C1=C[C@@H](C2=CC=CC=C2)N(C3=CC=C([N+]([O-])=O)C=C3)[C@@H]1C4=CC=C(OC)C=C4)OC,69.5
262,O=[N+](C1=CC=C(N2N=NC=C2C=C(C3=CC=CC=C3)C(C)(C)C)C=C1)[O-],69.5
263,O=[N+](C1=CC=C(C2=N[C@@](CCC3=C4C=CC=C3)([H])[C@@]4([H])O2)C=C1)[O-],69.5
264,O=[N+](C1=CC=C(C2=NCC(CCCCCC)O2)C=C1)[O-],69.5
265,CCCCCCCCCCCCCCCCCCOC1=CC=C(C2=CN=C(C3=CC=C([N+]([O-])=O)C=C3)N=C2)C=C1,69.5
266,O=[N+](C1=CC=C(C=C1)N(CC2=CC=CC=C2)C(C(N3C=CC4=C3C=CC=C4)=O)C(C)C)[O-],69.5
267,O=[N+](C1=CC=C(OCC2=CC=CC=C2)C(C#CC(C)(C)C)=C1)[O-],69.5
268,O=[N+](C1=CC=C(OCC2=CC(CC(C)C)=NC3=CC=CC=C23)C=C1)[O-],69.5
269,O=C1N(CCCCCCCCCCOC2=CC=C([N+]([O-])=O)C=C2[N+]([O-])=O)C(C3=C1C=CC=C3)=O,69.5
270,O=[N+](C(C1=NC(OC)=NC(OC2=CC=C([N+]([O-])=O)C=C2)=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],69.5
271,CCN1C=C(C(C2=CC=CC(OCC)=C2OCC=C)C[N+]([O-])=O)C3=C1C=CC=C3,69.5
272,O=[N+](C1=C(C(C2=CC=C(CC)O2)C3=CC=C(CC)O3)C(OC)=C(C)C=C1OC)[O-],69.5
273,O=[N+](C1=CN2C(C=C1)=NC(CC3=CC=CC=C3)=N2)[O-],69.5
